x,y
-13.247384,3.8084567
-13.296051,4.0698557
-13.241163,3.9810174
-13.076248,3.8939934
-12.970965,3.5409331
-13.316996,3.8897514
-13.471293,3.7482743
-13.242427,3.8943706
-13.044751,3.8740406
-13.305116,3.9625356
18.446167,-2.4469798
18.39895,-2.584121
18.81319,-2.6322963
19.016233,-2.654428
-13.337888,3.8470209
-13.4286785,4.042731
-13.383464,3.8911994
-13.523408,3.8087664
-20.154793,8.268218
-20.19477,8.319742
-20.129591,8.417049
-20.142218,8.097212
-20.074594,8.116685
-20.104597,8.10579
-20.127157,8.22982
-20.18444,8.286938
-20.110123,8.183951
-20.1007,8.156219
17.519781,-1.3045094
17.451582,-1.2697273
1.501116,-6.8188944
1.6229062,-6.7603974
1.6205455,-6.6678715
1.3612014,-6.8288426
1.5859934,-6.9306536
1.4769135,-6.814443
1.4338897,-7.0673904
1.5228401,-6.5678253
1.4589589,-6.7839093
1.4172388,-6.572843
17.030401,-3.1785524
16.892284,-3.1746118
16.781275,-3.1077123
16.878855,-3.3432252
1.5142728,-6.9916744
1.3976303,-6.8126144
1.4400148,-6.974014
1.704729,-6.7335496
-3.376346,-15.467322
-3.4375446,-15.429465
-3.5431747,-15.384446
-3.2004623,-15.106809
-3.4000177,-15.264167
-3.2609963,-15.201887
-3.33263,-15.304988
-3.410349,-15.421408
-3.4163063,-15.333797
-3.3640099,-15.186435
17.11044,-3.2993803
17.148842,-3.2908187
-13.315012,3.842804
-13.078395,3.6496704
-13.339584,3.8610117
-13.1501465,3.5982666
-13.220652,3.8871207
-13.146108,3.9091156
-13.4448,3.9048471
-13.250503,3.8837209
-13.041603,3.7618804
-13.113076,3.9845762
18.110527,-2.2100034
18.303291,-2.188273
18.555595,-2.4879951
18.657745,-2.624694
-13.444465,3.7513747
-13.368598,3.8196518
-13.309288,3.8465526
-13.497971,3.8102078
-20.223581,8.23977
-20.152561,8.026624
-19.99467,8.044248
-20.300375,7.9203925
-20.1366,8.257379
-20.054129,8.256025
-20.135454,8.229384
-20.10793,8.189499
-20.150517,8.199006
-19.926014,8.067241
17.283909,-1.3468716
17.475561,-1.3695291
1.4547777,-6.977234
1.481697,-6.873261
1.57671,-6.7401366
1.6316911,-6.727709
1.8095208,-7.086248
1.6000104,-6.7231646
1.51254,-6.6845217
1.7641236,-6.7930613
1.3706782,-7.0010166
1.6032506,-6.7572165
16.90405,-2.8800623
16.930859,-2.9596438
17.096666,-3.2321339
16.93903,-3.2774453
1.4129783,-7.118169
1.4273382,-6.912031
1.7363433,-7.1100907
1.5444088,-6.858001
-3.4799025,-15.379415
-3.3983192,-15.2565565
-3.3485508,-15.39998
-3.5618052,-15.439494
-3.4196768,-15.352091
-3.415878,-15.316473
-3.2744997,-15.169284
-3.492098,-15.403292
-3.5915926,-15.357269
-3.578818,-15.173006
17.217485,-3.3041189
17.128647,-3.2363634
6.636117,-5.8298936
6.54213,-6.0239935
6.459682,-6.0426006
6.3142667,-6.207708
6.505515,-5.980669
6.770663,-5.752616
6.792217,-5.891103
6.4992495,-5.885633
6.732907,-6.1243105
6.938512,-5.9818316
17.255882,9.116127
17.222794,9.297812
17.208084,9.106775
17.16498,9.132895
6.434994,-5.7690988
6.6031847,-5.632515
6.7042823,-5.6471963
6.681115,-5.7433114
5.984128,-9.959107
6.273574,-9.965817
5.391849,-9.838719
5.6583304,-9.874772
5.9645977,-10.058919
6.2306685,-10.199304
5.564597,-9.803551
5.8883123,-9.7767935
-9.32044,3.5152729
-9.284049,3.1095393
-9.112611,3.3062818
-9.259769,3.2466516
-9.235923,3.4546993
-9.280051,3.564576
-9.294166,3.4257472
-9.162108,3.5303729
-9.243361,3.344338
-9.477239,3.5341578
5.8529463,-9.671811
5.942193,-9.872893
6.153849,-9.962682
5.5645022,-9.871538
6.2159233,-9.627519
5.8122163,-9.694462
6.05745,-9.673459
5.868852,-9.859892
5.5510006,-9.623113
6.094771,-9.823679
4.4603853,-9.966003
4.8510027,-9.646391
4.7675056,-9.745924
4.9669943,-9.485229
4.9384513,-9.97693
4.6952047,-9.779079
4.741991,-9.846402
4.766494,-9.744204
5.084659,-9.560225
4.6023774,-9.835474
-8.866492,5.5993013
-8.3148365,6.12862
-9.514362,5.7575116
-8.257434,6.217435
-9.179394,5.4886384
-8.238545,6.0866895
-9.146138,4.2275534
-8.741721,5.5924087
-8.887564,5.662696
-8.07801,6.1496115
-8.851926,6.0914984
-8.488102,6.374173
-9.130534,5.875885
-8.666424,6.368813
-8.954629,5.4845314
-8.299106,6.4111824
-9.433341,4.3330455
-8.666244,5.9272366
-8.737388,5.633978
-8.381489,6.301333
8.096412,-6.404075
8.20804,-6.6237926
8.701795,-6.3481727
8.109396,-6.279563
8.229896,-6.7358346
8.377028,-6.421733
8.528447,-6.548468
8.427453,-6.1302986
-16.000242,7.2864685
-16.15362,7.3581953
-16.192518,7.2450743
-16.27197,7.2091117
-16.388771,7.344731
-16.254354,7.547124
-16.1039,7.4595094
-16.362974,7.4119096
-15.999066,7.570288
-16.23771,7.224809
8.46016,-6.24833
8.40634,-6.1981936
8.451889,-6.4267626
8.5423355,-6.6755037
8.392745,-6.300458
8.377446,-6.3377447
8.250997,-6.618671
8.252498,-6.502975
8.422647,-6.5620246
8.256049,-6.3160844
23.564434,5.995916
23.775562,5.8670616
23.38074,5.233565
23.724741,5.762796
23.931087,6.1662164
23.853003,6.151538
23.421026,5.4704714
23.83494,5.851378
-1.6802603,-0.4321595
-1.6075108,-0.2614061
-1.7329688,-0.29697272
-1.613433,-0.29753476
-1.6819847,-0.058815524
-1.40186,-0.3113793
-1.7161304,-0.14032707
-1.5655162,-0.091771536
-1.5140047,-0.105682105
-1.6055325,-0.48255843
24.09489,5.5245934
23.489767,5.8486276
23.570398,6.257775
23.661892,5.179064
23.782387,5.8546805
23.937872,5.7947965
23.857153,5.9369593
23.959362,6.102194
23.400682,4.957619
23.642931,5.974771
22.730679,5.456793
22.551464,5.2797093
22.821335,5.2894464
23.110096,5.0213423
22.634785,5.3805046
22.601204,5.307176
22.773895,5.3297915
23.02786,5.2652397
22.991877,4.951286
22.656687,5.2954454
-0.70257276,-0.91202074
-0.72096294,-1.1222471
-0.75937814,-0.965357
-0.5122346,-1.3388362
-0.5322758,-0.9212345
-1.1021168,-1.2145569
-1.1189686,-0.46688452
-0.9252662,-1.105652
-1.0121886,-1.1641301
-0.5120968,-1.4794946
-0.7294166,-1.274238
-0.63864774,-1.1305317
-0.88506126,-0.61285514
-0.40722632,-1.3484364
-0.7591741,-0.7614211
-0.6456054,-1.2472074
-1.1960238,-0.68580693
-0.7885638,-0.92209285
-0.54822165,-0.96226066
-0.53435093,-1.4578319
9.865753,-9.337855
9.669511,-9.31172
9.332567,-9.021968
9.770933,-9.639648
9.812756,-9.642347
9.638821,-9.556948
9.366109,-9.146625
9.732099,-9.619245
0.4840058,6.406962
0.41140646,6.7693486
0.7902964,6.5265374
0.4261564,6.5723195
0.5463527,6.46289
0.6572762,6.0826135
0.37369654,6.519947
0.69933194,6.5418563
0.5171458,6.62434
0.66006804,6.343169
9.698074,-9.436002
9.695299,-9.517618
9.508856,-9.359892
9.444269,-9.12775
9.445313,-9.568105
9.8698,-9.257939
9.70352,-9.607764
9.500121,-9.349225
9.4204645,-9.460751
9.569365,-9.429349
5.903036,-9.993355
5.9746537,-10.104853
5.232118,-9.900484
6.092542,-9.703543
6.1343946,-10.104034
6.073768,-10.022943
5.248687,-9.748627
6.017141,-9.974385
-9.143991,3.2876248
-9.385165,3.3898807
-9.079224,3.376267
-9.244532,3.0638022
-9.138502,3.2642436
-8.972034,3.2187266
-9.343858,3.3044426
-9.209491,3.2316062
-9.094483,3.526182
-9.039513,3.4170072
5.833476,-9.906931
5.6254487,-9.957117
5.750319,-9.969148
5.32344,-9.673858
5.96304,-9.778666
5.779576,-9.640416
5.7089415,-9.8390465
5.9636865,-9.95313
5.3964906,-9.393598
5.89044,-9.767898
4.8241644,-9.652185
4.711355,-9.637003
4.6844797,-9.928691
5.0162134,-9.340473
4.790223,-9.93769
4.54081,-9.782941
4.71894,-9.79037
4.7710366,-9.824138
5.141913,-9.444156
4.6354866,-10.154631
-8.697123,5.827914
-8.42359,6.2361317
-9.173566,5.6905575
-8.167773,6.3114114
-9.177317,5.3775215
-8.059389,6.3583603
-9.333047,4.0179477
-8.747913,5.5207505
-8.76325,5.886895
-8.240889,6.300801
-8.750922,5.738627
-8.380428,6.3688674
-9.274543,5.7181563
-8.345165,6.342945
-8.978999,5.4443765
-8.208362,6.2390428
-9.174301,4.108685
